Date,Action,Price,Size,Cash,Portfolio Value
2020-06-30,BUY,10058.76953125,0.019883147673147458,9800.0,10000.0
2020-07-01,BUY,10154.6298828125,0.019301540505355614,9604.0,10001.906005526116
2020-07-02,BUY,10207.6298828125,0.018817296689354137,9411.92,10003.982793999578
2020-07-13,SELL (daily),10390.83984375,0.019883147673147458,9618.522603061307,10014.609335381516
2020-07-13,SELL (daily),10390.83984375,0.018817296689354137,9814.050119252712,10014.609335381516
2020-07-14,SELL (daily),10488.580078125,0.019301540505355614,10016.495872474308,10016.495872474308
2020-07-28,BUY,10402.08984375,0.019258622109465107,9816.165955024822,10016.495872474308
2020-07-29,BUY,10542.9404296875,0.018621305925970753,9619.842635924326,10019.208460682776
2020-07-30,BUY,10587.8095703125,0.018171544495657936,9427.44578320584,10020.908100500663
2020-07-31,BUY,10745.26953125,0.017547155528836962,9238.896867541724,10029.733963175899
2020-08-03,BUY,10902.7998046875,0.016947751097052325,9054.118930190889,10041.327975178805
2020-08-04,BUY,10941.169921875,0.016550549886056927,8873.03655158707,10044.802250357961
2020-08-10,SELL (daily),10968.3603515625,0.018621305925970753,9077.281745199803,10047.714261876852
2020-08-10,SELL (daily),10968.3603515625,0.017547155528836962,9269.745270185,10047.714261876852
2020-08-11,SELL (daily),10782.8203125,0.019258622109465107,9477.407531857702,10034.554191229889
2020-08-12,SELL (daily),11012.240234375,0.018171544495657936,9677.51694527352,10046.40828314292
2020-08-13,SELL (daily),11042.5,0.016947751097052325,9864.662486762722,10047.421933879505
2020-08-14,SELL (daily),11019.2998046875,0.016550549886056927,10047.037957889619,10047.037957889619
2020-10-01,BUY,11326.509765625,0.017740748325457734,9846.097198731826,10047.037957889619
2020-10-02,BUY,11075.01953125,0.017780731078531165,9649.17525475719,10042.576332935261
2020-10-05,BUY,11332.490234375,0.017029223154304097,9456.191749662046,10051.722073213446
2020-10-06,BUY,11154.599609375,0.0169547847180718,9267.067914668805,10042.373795891162
2020-10-12,SELL (daily),11876.259765625,0.017740748325457734,9477.761650218517,10092.533136699256
2020-10-15,SELL (daily),11713.8701171875,0.017029223154304097,9677.239758444637,10084.127078939558
2020-10-16,SELL (daily),11671.5595703125,0.0169547847180718,9875.128538283436,10082.65740027022
2020-10-19,SELL (daily),11478.8798828125,0.017780731078531165,10079.231414562486,10079.231414562486
2021-01-12,BUY,13072.4296875,0.015420593807745407,9877.646786271236,10079.231414562486
2021-01-13,BUY,13128.9501953125,0.015047123554171005,9680.09385054581,10080.10299435527
2021-01-14,BUY,13112.6396484375,0.01476452355906736,9486.491973534894,10079.606049223063
2021-01-15,BUY,12998.5,0.014596287223194821,9296.762134064196,10074.443257146302
2021-01-19,BUY,13197.1796875,0.014089013492587102,9110.826891382912,10086.329970421571
2021-01-22,SELL (daily),13543.0595703125,0.015420593807745407,9319.668911930801,10111.896561060685
2021-01-25,SELL (daily),13635.990234375,0.015047123554171005,9524.851341770911,10117.332721268065
2021-01-25,SELL (daily),13635.990234375,0.014596287223194821,9723.886171804528,10117.332721268065
2021-01-26,SELL (daily),13626.0595703125,0.01476452355906736,9925.068449347662,10117.046186484591
2021-01-29,SELL (daily),13070.6904296875,0.014089013492587102,10109.22158316896,10109.22158316896
2021-03-19,BUY,13215.240234375,0.015299338345546261,9907.03715150558,10109.22158316896
2021-03-26,BUY,13138.73046875,0.015080661217716755,9708.896408475468,10108.051034377924
2021-03-29,SELL (daily),13059.650390625,0.015299338345546261,9908.700418476184,10105.648581639023
2021-03-29,BUY,13059.650390625,0.015174526303689177,9710.52641010666,10105.648581639023
2021-03-31,BUY,13246.8701171875,0.014660861507968562,9516.315881904527,10111.312949573878
2021-04-01,BUY,13480.1103515625,0.014119047446524022,9325.989564266438,10121.789179376687
2021-04-05,SELL (daily),13705.58984375,0.015080661217716755,9532.67892148901,10135.100382951314
2021-04-06,BUY,13698.3798828125,0.013917965486487585,9342.025343059231,10134.783473190071
2021-04-12,SELL (daily),13850.0,0.014660861507968562,9545.078274944595,10143.558093372902
2021-04-13,SELL (daily),13996.099609375,0.014119047446524022,9742.689869395637,10149.871282375876
2021-04-16,SELL (daily),14052.33984375,0.013917965486487585,9938.269850345345,10151.507450932708
2021-04-29,BUY,14082.5498046875,0.014114304565835522,9739.504453338437,10151.965872779589
2021-05-04,SELL (daily),13633.5,0.015174526303689177,9946.386357699783,10138.813728998102
2021-05-10,SELL (daily),13401.8603515625,0.014114304565835522,10135.544296450531,10135.544296450531
2021-07-21,BUY,14631.9501953125,0.013853989606522253,9932.83341052152,10135.544296450531
2021-07-22,BUY,14684.599609375,0.013528231854793184,9734.176742311089,10136.273700885742
2021-07-23,BUY,14836.990234375,0.013121497808576453,9539.493207464868,10140.44649472812
2021-07-27,BUY,14660.580078125,0.013013800486242304,9348.70334331557,10133.301227283013
2021-07-28,BUY,14762.580078125,0.012665405767611528,9161.72927644926,10138.760014298137
2021-07-29,BUY,14778.259765625,0.012398928455378648,8978.494690920274,10139.797741888187
2021-07-30,BUY,14672.6796875,0.012238384374422435,8798.924797101869,10131.501063605863
2021-08-02,SELL (daily),14681.0703125,0.013853989606522253,9002.316192623866,10132.263102168297
2021-08-02,SELL (daily),14681.0703125,0.013121497808576453,9194.953824556891,10132.263102168297
2021-08-02,BUY,14681.0703125,0.012526271761981784,9011.054748065753,10132.263102168297
2021-08-03,SELL (daily),14761.2900390625,0.013528231854793184,9210.74890219004,10138.389564726625
2021-08-03,BUY,14761.2900390625,0.012479598839689247,9026.533924146239,10138.389564726625
2021-08-04,BUY,14780.5302734375,0.012214086716994277,8846.003245663314,10139.838785157855
2021-08-06,SELL (daily),14835.759765625,0.013013800486242304,9039.07286331498,10144.67338029744
2021-08-09,SELL (daily),14860.1796875,0.012665405767611528,9227.283068836785,10146.493218221225
2021-08-09,SELL (daily),14860.1796875,0.012238384374422435,9409.147659725395,10146.493218221225
2021-08-10,SELL (daily),14788.08984375,0.012398928455378648,9592.504127689763,10142.916200498727
2021-08-12,SELL (daily),14816.259765625,0.012526271761981784,9778.096624010099,10143.964683788583
2021-08-13,SELL (daily),14822.900390625,0.012479598839689247,9963.080474525772,10144.128665294234
2021-08-16,SELL (daily),14793.759765625,0.012214086716994277,10143.772739173497,10143.772739173497
2021-08-16,BUY,14793.759765625,0.01371358315922328,9940.897284390026,10143.772739173497
2021-08-17,BUY,14656.1796875,0.013565468623270831,9742.079338702226,10141.886023331077
2021-08-18,BUY,14525.91015625,0.01341338234081056,9547.237751928182,10138.332394042427
2021-08-19,BUY,14541.7900390625,0.013130760004486609,9356.292996889619,10138.978585127661
2021-08-20,BUY,14714.66015625,0.012716967836889616,9169.167136951826,10148.283007003938
2021-08-23,BUY,14942.650390625,0.012272477635834337,8985.78379421279,10163.453514125616
2021-08-24,BUY,15019.7998046875,0.011965251083317948,8806.068118328534,10169.533863091516
2021-08-25,BUY,15041.8603515625,0.01170874866872938,8629.946755961964,10171.53647300416
2021-08-26,SELL (daily),14945.8095703125,0.01371358315922328,8834.90735838636,10161.692551226659
2021-08-26,BUY,14945.8095703125,0.011822587885684712,8658.209211218633,10161.692551226659
2021-08-27,SELL (daily),15129.5,0.013565468623270831,8863.447968754408,10180.171008312227
2021-08-30,SELL (daily),15265.8896484375,0.013130760004486609,9063.900701983017,10192.04102334609
2021-08-31,SELL (daily),15259.240234375,0.012716967836889616,9257.951969258937,10191.549635533778
2021-09-02,SELL (daily),15331.1796875,0.012272477635834337,9446.103529104737,10195.951067356005
2021-09-03,SELL (daily),15363.51953125,0.011965251083317948,9629.931897819602,10197.532808142927
2021-09-07,SELL (daily),15374.330078125,0.01170874866872938,9809.946064654454,10197.932200758329
2021-09-08,SELL (daily),15286.6396484375,0.011822587885684712,9990.673705374898,10195.719247685585
2021-09-09,SELL (daily),15248.25,0.01341338234081056,10195.204312653163,10195.204312653163
2021-11-29,BUY,15782.830078125,0.012919361435416726,9991.300226400099,10195.204312653163
2021-12-09,SELL (daily),15517.3701171875,0.012919361435416726,10191.774739471179,10191.774739471179
2021-12-15,BUY,15565.580078125,0.013095271346545102,9987.939244681755,10191.774739471179
2021-12-16,BUY,15180.4296875,0.01315896776348315,9788.18045978812,10186.731090596717
2021-12-17,BUY,15169.6796875,0.012904927014185672,9592.416850592357,10186.448857526284
2021-12-21,BUY,15341.08984375,0.01250552203043167,9400.56851358051,10193.161136310255
2021-12-22,BUY,15521.8896484375,0.012112659897085163,9212.5571433089,10202.502101837856
2021-12-23,BUY,15653.3701171875,0.011770701228348845,9028.306000442723,10210.887577455329
2021-12-27,SELL (daily),15871.259765625,0.013095271346545102,9236.144453685085,10227.348715353104
2021-12-27,SELL (daily),15871.259765625,0.012904927014185672,9440.961902583656,10227.348715353104
2021-12-27,BUY,15871.259765625,0.011896928211119701,9252.142664531983,10227.348715353104
2021-12-28,SELL (daily),15781.7197265625,0.01315896776348315,9459.813805666145,10221.846947429574
2021-12-28,BUY,15781.7197265625,0.011988318091524792,9270.617529552821,10221.846947429574
2021-12-31,SELL (daily),15644.9697265625,0.01250552203043167,9466.266043133784,10213.60446022612
2022-01-03,SELL (daily),15832.7998046875,0.012112659897085163,9658.043362386601,10222.57684149126
2022-01-04,SELL (daily),15622.7197265625,0.011770701228348845,9841.9337286622,10215.086237248328
2022-01-05,SELL,15100.169921875,0.023885246302644495,10202.605006457969,10202.605006457969
2022-01-06,SELL (daily),15080.8603515625,0.011896928211119701,10382.02091942243,10202.605006457969
2022-01-07,SELL,14935.900390625,0.011988318091524792,10552.124428045265,10204.32958470673
2023-03-16,BUY,11717.2802734375,0.018011217930779404,10341.08193948436,10272.254302717092
2023-03-17,BUY,11630.509765625,0.017782680463496695,10134.260300694674,10272.763995141824
2023-03-20,BUY,11675.5400390625,0.017359814221507164,9931.57509468078,10273.300245001785
2023-03-21,BUY,11860.1103515625,0.016747862878649107,9732.943592787165,10278.702334975596
2023-03-22,BUY,11669.9599609375,0.016680337593900835,9538.284720931422,10269.952312004649
2023-03-23,BUY,11787.400390625,0.016183864813004246,9347.519026512793,10277.315435491935
2023-03-24,BUY,11823.9599609375,0.015811147969705484,9160.568645982537,10280.199273833205
2023-03-27,SELL (daily),11768.83984375,0.018011217930779404,9372.539785200759,10274.979857358712
2023-03-28,SELL (daily),11716.080078125,0.017782680463496695,9580.883093514796,10270.934214174697
2023-03-30,SELL (daily),12013.4697265625,0.017359814221507164,9789.434696123622,10288.449804611817
2023-03-31,SELL (daily),12221.91015625,0.016747862878649107,9994.125571535666,10297.107996291767
2023-04-03,SELL (daily),12189.4501953125,0.016680337593900835,10197.44971587752,10296.303310481888
2023-04-03,SELL (daily),12189.4501953125,0.015811147969705484,10390.17891658496,10296.303310481888
2023-04-04,SELL (daily),12126.330078125,0.016183864813004246,10586.429803247203,10296.789422584021
2023-04-13,BUY,12166.26953125,0.017402918414810956,10374.70120718226,10295.835458908938
2023-04-14,BUY,12123.4697265625,0.017115069268414648,10167.207183038614,10296.112901276458
2023-04-17,BUY,12157.7197265625,0.016725516645732567,9963.863039377842,10296.477072668742
2023-04-18,BUY,12153.41015625,0.016396818524640734,9764.585778590284,10296.35917033215
2023-04-19,BUY,12157.23046875,0.016063832636372278,9569.294063018478,10296.526328398037
2023-04-20,BUY,12059.5595703125,0.015870055630515054,9377.908181758108,10290.683761794158
2023-04-21,BUY,12072.4599609375,0.015536035260588029,9190.350018122946,10291.66017900631
2023-04-24,SELL (daily),12037.2001953125,0.017402918414810956,9399.832431064717,10288.443606884404
2023-04-24,BUY,12037.2001953125,0.01561797141950863,9211.835782443422,10288.443606884404
2023-04-25,SELL (daily),11799.16015625,0.017115069268414648,9413.77922582676,10267.153293154744
2023-04-25,BUY,11799.16015625,0.015956693698814306,9225.503641310224,10267.153293154744
2023-04-27,SELL (daily),12142.240234375,0.016725516645732567,9428.588882466747,10297.440977973092
2023-04-27,BUY,12142.240234375,0.015530229513618363,9240.017104817412,10297.440977973092
2023-04-28,SELL (daily),12226.580078125,0.016396818524640734,9440.494119535415,10304.785830530613
2023-04-28,BUY,12226.580078125,0.015442575207806036,9251.684237144707,10304.785830530613
2023-05-01,SELL (daily),12212.599609375,0.016063832636372278,9447.865393324733,10303.581662740206
2023-05-01,SELL (daily),12212.599609375,0.015536035260588029,9637.600771479427,10303.581662740206
2023-05-01,BUY,12212.599609375,0.015783045509952073,9444.848756049838,10303.581662740206
2023-05-02,SELL (daily),12080.509765625,0.015870055630515054,9636.567118075287,10294.293722490314
2023-05-02,BUY,12080.509765625,0.015953908080097855,9443.835775713782,10294.293722490314
2023-05-04,SELL (daily),11966.400390625,0.01561797141950863,9630.72667500896,10286.260516387822
2023-05-05,SELL (daily),12235.41015625,0.015956693698814306,9825.963367151604,10300.99719569589
2023-05-08,SELL (daily),12256.919921875,0.015530229513618363,10016.316146668363,10301.832301849705
2023-05-08,BUY,12256.919921875,0.016343936666816567,9815.989823734995,10301.832301849705
2023-05-09,SELL (daily),12179.5498046875,0.015442575207806036,10004.073437591102,10298.765488188033
2023-05-09,BUY,12179.5498046875,0.01642765717619689,9803.99196883928,10298.765488188033
2023-05-10,BUY,12306.4404296875,0.015933107586802393,9607.912129462495,10303.920204258036
2023-05-11,SELL (daily),12328.509765625,0.015783045509952073,9802.493560163242,10305.168366641436
2023-05-11,BUY,12328.509765625,0.015902154837067285,9606.443688959978,10305.168366641436
2023-05-12,SELL (daily),12284.740234375,0.015953908080097855,9802.433305447077,10302.687705783284
2023-05-12,BUY,12284.740234375,0.015958714825760882,9606.384639338135,10302.687705783284
2023-05-18,SELL (daily),12688.83984375,0.016343936666816567,9813.770234119764,10325.592202890171
2023-05-19,SELL (daily),12657.900390625,0.01642765717619689,10021.7098823074,10324.344217100603
2023-05-22,SELL (daily),12720.7802734375,0.015933107586802393,10224.391442992153,10325.847595300744
2023-05-22,SELL (daily),12720.7802734375,0.015958714825760882,10427.398747737107,10325.847595300744
2023-05-23,SELL (daily),12560.25,0.015902154837067285,10627.133788029381,10327.12912315659
2023-07-12,BUY,13918.9599609375,0.015270011290863143,10414.591112268794,10294.676001085742
2023-07-24,SELL (daily),14058.8701171875,0.015270011290863143,10629.270217695026,10293.470642209113
2023-12-12,BUY,14533.400390625,0.01462736858822331,10416.684813341126,10282.136369749998
2023-12-22,SELL (daily),14992.9697265625,0.01462736858822331,10635.992507763629,10277.881733036591
2024-03-06,BUY,16031.5400390625,0.013268834412474331,10423.272657608357,10253.075225319913
2024-03-07,BUY,16273.3798828125,0.012810212423808939,10214.80720445619,10250.50775392721
2024-03-12,BUY,16265.6396484375,0.012559982177445372,10010.511060367067,10250.490773396908
2024-03-13,BUY,16177.76953125,0.01237563811380813,9810.300839159727,10249.194356781127
2024-03-14,BUY,16128.5302734375,0.012165151657143328,9614.094822376532,10247.858524234827
2024-03-18,SELL (daily),16103.4501953125,0.013268834412474331,9827.768836487661,10246.87301328709
2024-03-19,SELL (daily),16166.7900390625,0.012810212423808939,10034.86885109917,10248.521479469895
2024-03-20,BUY,16369.41015625,0.012260513671920867,9834.171474077188,10251.19921082493
2024-03-22,SELL (daily),16428.8203125,0.012559982177445372,10040.51716439864,10252.712746301426
2024-03-22,BUY,16428.8203125,0.012223053114482275,9839.706821110667,10252.712746301426
2024-03-25,SELL (daily),16384.470703125,0.01237563811380813,10042.475101218834,10251.597836581594
2024-03-25,BUY,16384.470703125,0.012258528558146756,9841.625599194456,10251.597836581594
2024-03-26,SELL (daily),16315.7001953125,0.012165151657143328,10040.108566462915,10249.877060887035
2024-04-01,SELL (daily),16396.830078125,0.012260513671920867,10241.14212581193,10250.920135543143
2024-04-02,SELL (daily),16240.4501953125,0.012223053114482275,10439.650011152338,10250.826880687868
2024-04-02,BUY,16240.4501953125,0.012856355440399732,10230.857010929292,10250.826880687868
2024-04-03,BUY,16277.4599609375,0.012570581694541052,10026.239870710706,10250.872389290796
2024-04-04,SELL (daily),16049.080078125,0.012258528558146756,10222.977977180386,10247.720696803619
2024-04-09,BUY,16306.6396484375,0.01253842385381951,10018.518417636778,10248.117774031942
2024-04-10,BUY,16170.3603515625,0.012391212316636735,9818.148049284042,10246.198945902599
2024-04-11,BUY,16442.19921875,0.011942621444566655,9621.78508829836,10253.394881447975
2024-04-12,SELL (daily),16175.08984375,0.012856355440399732,9829.73779261001,10243.134155686928
2024-04-12,BUY,16175.08984375,0.012154167782144577,9633.14303675781,10243.134155686928
2024-04-15,SELL (daily),15885.01953125,0.012570581694541052,9832.82697249477,10232.19509344992
2024-04-15,BUY,15885.01953125,0.012379999852252016,9636.170433044874,10232.19509344992
2024-04-18,SELL,15601.5,0.011942621444566655,9813.17710108891,10221.557106382985
2024-04-19,SELL,15282.009765625,0.01253842385381951,9995.208801079543,10204.068866628259
2024-04-19,SELL,15282.009765625,0.012154167782144577,10171.661906282332,10204.068866628259
2024-04-22,SELL (daily),15451.3095703125,0.012391212316636735,10363.122363738155,10185.351239150403
2024-04-25,SELL (daily),15611.759765625,0.012379999852252016,10556.395947329987,10183.505220110319
